name,latitude,longitude
Hotel Dar Diaf,36.7513889,3.0517932
Regina Hotel,36.7743242,3.0595511
Hotel L'Olympic - Dely Brahim,36.7506939,2.986633
Hotel Albert 1er,36.7734297,3.0581262
Hôtel nour echames cheraga فندق نور الشمس الشراڨة,36.7589122,2.9617736
Hôtel de l'Indépendance فندق الاستقلال,36.7551814,3.062301
Hôtel Emir,36.7571017,2.9656025
Cygnes Appart Hotel,36.7804756,2.9721861
Le Mas Des Planteurs (Samitel),36.7264189,2.8731139
Hôtel Toumiat Reghaïa,36.7373099,3.3426973
Le Beau Fayet Hotel,36.7327182,2.9239572
Hôtel Said Hamdine,36.7375692,3.0284041
Medina Park Hotel,36.69248,2.874651
Hôtel home stay,36.7245656,3.1715103
Dar Diaf Hotel - Chéraga,36.77033,2.966097
DAR DIAF SAADA,36.7610458,2.9188384
Hostel MB,36.7070456,3.0877647
Hostel Dayz Alger,36.7435332,3.0964333
STAY FAMILY HOSTEL,36.7192255,3.1987408
Royal Sahel Hotel,36.7318977,3.03112
AD Hotel Pont Hydra,36.7517345,3.0398417
HÔTEL LA COLOMBE,36.740981,2.84487
Hotel New house Staoueli,36.7583465,2.888894
Hôtel El Mahdi,36.7553753,2.8856844
Hôtel Abbasside Palace Beach,36.7411826,2.8447785
Taza Hotel Staoueli,36.7551346,2.8865477
El Riadh Hotel - Sidi Fredj,36.7585258,2.8503565
Hotel L'evantail,36.7580306,2.8448492
Hôtel PALMARIUM,36.7420874,2.848577
Résidence Marina,36.7641805,2.8464457
Hôtel Palais de La Rose Bleu,36.7444612,2.8461684
Hôtel Sofitel thalassa,36.7620976,2.8701857
Hôtel OUMAYA,36.7235942,3.1847239
Hotel SA,36.7312832,3.1854587
Hotel Niagara,36.7241389,3.1673372
Hôtel Hani,36.7302924,3.1779303
Hotel Best Night,36.7244284,3.1706173
El Forssane Hotel,36.6743184,3.0903874
Hôtel El Sahel,36.6695298,2.9415437
Hôtel Darna Family,36.7513542,2.8867161
Hôtel Familial,36.7243818,3.1845643
Hôtel Roza,36.7143965,3.2113537
Hôtel Sidi El Noui,36.7673988,2.9615834
Joumana Hotel,36.7807548123755,2.98207425002787
Hôtel El Marsa,36.7627019,2.8463656
Hôtel des Etrangers - Square Port Said,36.7803397,3.0598174
Hôtel Le Royal,36.7807524,2.9817084
Hotel Amirouche,36.780411,3.0579832
HOTEL RESTAURANT ARCACHON ROUIBA,36.7361191,3.2813072
Hôtel OPERA,36.7312968,3.28351
El Capital hostel,36.7208544,3.1403452
Hostel Florence,36.7796745,3.0571666
The Faubourg - Hotel,36.7348334,3.0636345
Hôtel El-Djazaïr – El Harrache,36.7209631,3.1408167
الفندق الصغير درارية,36.7138093,3.0013101
Hotel Moliere,36.7640808,3.0560604
Hôtel Djouhra,36.7160781,3.2081235
Hôtel Habouche Arab,36.7545625,3.0613125
Hostel Auberge Bonne Avanture,36.7411213,2.8452957
Hôtel Arago,36.7784954,3.0596253
PRINTANIA HÔTEL,36.764083,3.0445527
Hostel Rayan,36.7147338,3.0930574
Hotel Nour El Houda,36.7383954,2.8454513
AZ Hotel Zeralda,36.715048,2.8442311
Relax Hotel Zeralda,36.714888,2.8358275
Hotel restaurant le 103,36.7391177,3.0344332
Moncada Hotel,36.7405982,3.014809
